covered,criteria
t,"I.  Short term (3-7 days) continuous glucose monitoring used for diagnostic purpose may be considered medically necessary for members with uncontrolled DM type 1 or type 2 diabetes, despite insulin dose adjustment, who have ANY of the following:

A.  unexplained severe hypoglycemia (less than 50mg/dl) OR

B.  hypoglycemic unawareness OR

C.  repeated hyperglycemia (greater than 150mg/dl) at the same time each day OR

D.  recurrent diabetic ketoacidosis

II.  Short term (3-7 days) continuous glucose monitoring may be considered medically necessary for members with DM type 1 prior to insulin pump initiation to determine basal insulin levels.

III. Short term (3-7 days) continuous glucose monitoring is considered not medically necessary for all other indications.

Coverage for CPT 95250 and 95251 up to four times a year for each code can be provided.  Any additional services will require medical necessity review."
t,"Short term use of CGMS can be beneficial in patients with diabetes to detect nocturnal hypoglycemia, the dawn phenomenon, and postprandial hyperglycemia and to assist in the management of hypoglycemic unawareness and when significant changes are made to their diabetes regimen (such as instituting new insulin or to pump therapy) as follows:

Continuous glucose monitoring  MAY BE CONSIDERED MEDICALLY NECESSARY when used for up to 72 hours as a diagnostic test is covered without prior authorization for Type I and Type II patients on insulin."
t,N/A
t,"Cigna covers a minimally invasive, continuous glucose monitoring system (CGMS) as medically necessary for up to 14 days under the core medical benefits of the plan for the management of difficult to control insulin-treated diabetes mellitus (e.g., hypo- or hyperglycemic episodes unresponsive to adjustments in therapy, asymptomatic nocturnal hypoglycemia) for up to six separate sessions in any given 12-month period."
t,"Drug must be prescribed for a FDA approved indication. If not prescribed for a FDA approved indication, the off-label use of the drug must be for a medically accepted indication that is supported by AHFS (American Hospital Formulary Service) Drug Information, NCCN (National Comprehensive Cancer Network) guidelines, Micromedex DrugDex or peer reviewed medical literature in accordance with Chapter 15 of the Medicare Benefit Policy Manual."
t,"Intermittent use of the Continuous Glucose Monitoring System is considered medically appropriate for the following indications:

A. Patients whose diabetes is poorly controlled despite current evidence of best practices as indicated by the following clinical situations:
1. unexplained hypoglycemic episodes for whom hypoglycemia puts the patients or others at risk, or
2. hypoglycemic unawareness, or
3. unexplained large fluctuations in the daily preprandial blood glucose levels or
4. recurrent ketoacidosis, 

OR

B. Women with type I diabetes who are pregnant or about to become pregnant who cannot meet recommended targets for control of diabetes in pregnancy.
AND
C. The patient is participating in or has completed a comprehensive diabetic education program, and
D. There is documented self-monitoring of blood glucose at least 4 times per day by the patient, and
E. The patient is compliant with recommended medical regimens"
t,"1) Intermittent monitoring, i.e.,72 hours, of glucose levels in interstitial fluid may be considered medically necessary in patients with type 1 diabetes mellitus whose diabetes is poorly controlled despite current use of best practices

2) Intermittent monitoring of glucose levels in interstitial fluid may also be considered medically necessaryin patients with type I diabetes prior to insulin pump initiation to determine basal insulin levels.

Poorly controlled type 1 diabetes mellitus includes the following clinical situations: unexplained hypoglycemic episodes, hypoglycemic unawareness, suspected postprandial hyperglycemia, and recurrent diabetic ketoacidosis

Best practices in diabetes control for patients with diabetes mellitus include compliance with a regimen of 4 or more fingersticks each day and use of an insulin pump. During pregnancy, 3 or more insulin injections daily could also be considered best practice for patients not on an insulin pump prior to the pregnancy."
t,"Continuous subcutaneous glucose monitors with a device provided from an endocrinologist office or clinic will be covered for a maximum of 3 consecutive days, twice per calendar year when all of the following criteria are met:
- Medical documentation of a diagnosis of Type 1 diabetes, or Type 2 diabetes and
- Documented daily repeated hypo- ( <50mg/dl) and hyperglycemia excursions each day, or
- Documented episodes of hypoglycemia unawareness including symptoms, consequences, frequency, and patterns identified, and
- Poor blood glucose control as evidenced by two HgBA1C values greater than 7.0 within previous 6 months"
f,N/A
t,N/A
f,"For Commercial Members:

Kaiser Permanente (formerly Group Health) has elected to use the MCG for Continuous Glucose Monitor (GHC 0126) for medical necessity determinations. The MCG are proprietary and cannot be published and/or distributed. However, on an individual member basis, Kaiser Permanente can share a copy of the specific criteria document used to make a utilization management decision. If one of your patients is being reviewed for heart transplant eligibility, you may request a copy of the criteria by calling the Group Health Clinical Review staff at 1-800-289-1363."
t,"Drug Names TAFINLAR

Covered Uses 
All FDA-approved indications not otherwise excluded from Part D, non-small cell lung cancer (NSCLC). 

Exclusion Criteria

Required Medical Information 

For unresectable or metastatic melanoma, the tumor is positive for BRAF V600E or V600K mutation, and Tafinlar will be used as a single agent or in combination with trametinib. 

For NSCLC, the tumor is positive for the BRAF V600E mutation and Tafinlar will be used as a single agent or in combination with trametinib. 

Age Restrictions

Prescriber Restrictions

Coverage Duration 
Plan Year

Other Criteria"
t,"The use of physician-use continuous glucose monitoring devices for up to 3 days (72 hours) is considered medically necessary for insulin-requiring diabetic members on intensive insulin therapy when all of the following are documented in the office notes:

A. It is prescribed by the treating physician to supplement, and not replace, the traditional fingerstick self-monitoring of blood glucose levels.
B. The member has inadequate glycemic control despite compliance with self-monitoring of blood glucose and administration of insulin.
C. Insulin injections are administered multiple (3 or more) times per day, or member is using an insulin pump for maintenance control (intensive insulin therapy).
D. Fingersticks are performed multiple (4 or more) times per day.
E. Hemoglobin A1C measurement is > 7%. If it is <7%, documentation from the treating physician must indicate that the member experiences frequent or severe hypoglycemic episodes despite compliance with self-monitoring of blood glucose and administration of insulin"
t,"Short term interstitial continuous glucose monitoring (up to and including 72 hour) may be considered medically necessary for type I or type II diabetics when ANY ONE of the following criteria are met:

- Pregnant female that requires insulin therapy or
- An individual who requires determination of basal insulin level measurements prior to insulin pump initiation or
- An individual who has documentation of ALL of the following:
? Has received diabetes self-management education and instruction from a health care professional with expertise in the management of diabetes and
? Has a documented average of at least three glucose self-tests per day during the previous month and
? History of poorly controlled diabetes (i.e., unexplained hypoglycemic episodes, hypoglycemic unawareness, suspected postprandial hyperglycemia, and recurrent diabetic ketoacidosis) and
? Is on an intensive insulin regimen, requiring two or more insulin injections per day, or utilizes an insulin pump and
? Has ONE or MORE of the following while on an intensive insulin regimen:
- Glycated hemoglobin (HbA1c) values less than four or greater than nine or
- Unexplained large fluctuations in daily glucose values before meals or
- Unexplained frequent hypoglycemic attacks (e.g., greater than one (1) per week or three (3) per month) or
- Episodes of ketoacidosis or hospitalizations for significantly elevated glucose levels.

For short-term diagnostic use, no more than two continuous glucose monitoring periods may be considered medically necessary within a 12-month period."
t,"CGM (procedure codes 95250 and 95251) is a benefit of Texas Medicaid with prior authorization.

Procedure codes 95250 and 95251 are limited to once per 12 calendar months by any provider.

CGM requires prior authorization and must be prescribed by a physician performing the glucose monitoring.

CGM may be prior authorized for clients with Type I diabetes or diabetes during pregnancy.
 
The client must be compliant with his or her current medical regimen, use insulin injections three or more times per day or be on an insulin pump, and have documented self-blood glucose monitoring at least four times per day. At least one or more of the following conditions must also be present:
- Frequent unexplained hypoglycemic episodes
- Unexplained large fluctuations in daily, preprandial blood glucose
- Episodes of ketoacidosis or hospitalization for uncontrolled glucose

Additional CGM services may be considered with documentation of medical necessity that indicates the client meets the criteria above and has a change in condition that would warrant a second procedure within 12 calendar months."
t,"A.
Short term use of CGMS can be beneficial in patients with diabetes to detect nocturnal hypoglycemia, the dawn phenomenon, and postprandial hyperglycemia and to assist in the management of hypoglycemic unawareness and when significant changes are made to their diabetes regimen (such as instituting new insulin or to pump therapy) as follows:

Type 1 diabetics and Type II diabetics who require insulin who meets all of the following:
1. CGMS is requested by an endocrinologist and
2. Patient has completed a comprehensive diabetic education program and
3. Patient has a documented frequency of glucose self-testing an average of at least 4 times per day and
4. Patient has been compliant with the regime recommended by a board certified endocrinologist, and
5. Insulin injections are required 3 or more times per day and
6. Patient self-adjusts insulin dose based on self-testing results, and meets one or more of the following:
a. Glycosylated hemoglobin (Hgb A1C) values 7 or greater, or
b. Inadequate glycemic control despite compliance with frequent self and including fasting hyperglycemia (greater than 150 mg/dl) or recurring episodes of severe hypoglycemia (less than 50 mg/dl), or.
c. Type I or Type II diabetic woman who is newly pregnant and requires insulin therapy."
t,"The Company considers short-term (72 hours - 7 days) continuous glucose monitoring medically necessary and eligibile for reimbursement providing that all of the following medical criteria are met:

- Diabetes mellitus (Type 1 or 2), and
- Completion of a comprehensive diabetes education program, and
-  Multiple, daily insulin injections (? 3) or insulin pump therapy with frequent dosage adjustments for ?6 months, and
-  Monitoring device to be used as an adjunct to standard care, and
- At least one of the following:
1. Frequent unexplained, hypoglycemis episodes, or
2. Frequent nocturnal hypoglycemia, or
3. Hypoglycemic unawareness, or
4. Dawn phenomenon, or
5. Pregnancy, or
6. Monitoring will be prior to insulin pump therapy to determine basal levels and follow-up to verify adequate glucose levels, or
7. Multiple episodes or repeated hospitalizations for ketoacidosis or hyperglycemia, not due to medication or dietary non-compliance"
t,"For Both the Commercial & Classicare (Advantage) LOB: Medical Card System, Inc., (MCS) considers the use of Professional Medical Services for Continuous Glucose Monitoring [CGM] as medically necessary for adult patients with Diabetes Type 1 (DM-1) or Type 2 (DM-2) when they meet One or More of the following criteria:

1. Glycated hemoglobin (Hgb A1C) values < 4 or > 9, or
2. Unexplained large fluctuations in daily glucose values before meals, or
3. Unexplained frequent hypoglycemic attacks, or
4. Episodes of ketoacidosis or hospitalizations for uncontrolled glucose levels, or
5. Type 1 (DM-1) or Type 2 (DM-2) diabetic women, who are newly pregnant, or
6. Patients experimenting with important changes to their diabetes regimen (such as switching from Multiple Daily Injections (MDI) to pump therapy), or
7. Patients experiencing problems with Any of the following:
a. Nocturnal hypoglycemia, or
b. The dawn phenomenona, or
c. Hypoglycemia unawareness, or
d. Postprandial hyperglycemia."
t,"Professional continuous glucose monitoring is COVERED for:
- Adults with type 1 diabetes mellitus who have not achieved adequate glycemic control despite frequent self-monitoring of fingerstick blood glucose levels.
- Adults with type 2 insulin-dependent diabetes mellitus who have not achieved adequate glycemic control despite frequent self-monitoring of fingerstick blood glucose levels.
- Pregnant women with type 1 or 2 diabetes mellitus

All other indications are investigative and therefore NOT COVERED."
t,N/A
t,"Moda Health will cover short term continuous monitoring of glucose levels in the interstitial fluid via an implanted sensor for 3 days (72 hours) as medically necessary for members with type 1 or type 2 diabetes when One of the following criteria is met:
A. Glycolysated hemoglobin (HbA1c) values greater than 6.0 and less than 8.5 or
B. Wide fluctuations of blood glucose levels despite documentation of blood glucose testing (greater than or equal to 4 times per day) and insulin administration (greater than or equal to 3 times/day) or
C. Unexplained frequent hypoglycemic episodes in a diabetic taking insulin or
D. Repeated hypo- or hyperglycemia at the same time each day or
E. Episodes of ketoacidosis or hospitalizations for glucose out of control or
F. Preconception or pregnancy with a history of suboptimal glycemic control or
G. Starting insulin for the first time or starting an insulin pump regimen"
t,"IHCP reimbursement is available for a continuous glucose monitor for up to 72 hours (three days) as an evaluation tool for providers to treat members who have not obtained acceptable glycemic control. The CGM is deemed medically necessary when the following criterion is met.

Members must be compliant with their own care and:
- Been instructed by a health care professional regarding diabetic management
 and
- Have Type 1 diabetes
 or
- Have Type II insulin dependent diabetes
 or
- Be a pregnant woman with either type 1, type 2 diabetes, 
And:
- Suboptimal glycemic control despite compliance with multiple daily injections of insulin (minimum of 3 injections per day) and documented frequency of standard self-monitoring of blood glucose (minimum of four times per day)
- Hemoglobin A1C is >7.0% (ADA recommended goal)

Evidence of insulin-induced hypoglycemia (<50 mg/dL) occurring multiple times per week Episodes of diabetic ketoacidosis or hypoglycemia resulting in loss of consciousness, seizure, or need for emergency health services

The monitoring must be performed for a minimum of 24 hours. If the service is performed less than 24 hours, the service is not considered medically necessary"
t,"Cotellic

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria 

RequiredMedical Information 

Age Restrictions

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,Short-term (3-7 days) continuous glucose monitoring by a healthcare provider for diagnostic purposes is proven and medically necessary for patients with diabetes.
t,"CareSource will approve the use of CGMS and consider its use as medically necessary for the following:

A. Short-term use (up to 7 days) for blood glucose evaluation to optimize therapy does not require prior authorization."
t,"As of February 20, 2017 medical necessity for Continuous Glucose Monitor is determined through McKesson's InterQual criteria. To access the criteria, login to the NHP's provider website is required.

NHP covers continuous glucose monitors for individuals when it is recommended by the member's providers and when the request meets the medical necessity criteria."
t,"Use of Continuous Glucose Monitoring systems for the treatment of diabetes is considered MEDICALLY NECESSARY for Type 1 diabetics who:
- Have episodes of hypoglycemia unawareness, OR
- Fail to achieve:
o Adequate glycemic control appropriate to the patient, OR
o Appropriate A1C levels, despite frequent self-monitoring of blood glucose levels by finger stick and insulin adjustments."
t,"Intermittent monitoring, i.e., up to 72 hours, of glucose levels in interstitial fluid is covered (subject to Limitations and Administrative Guidelines) for patients with type 1 and type 2 diabetes when the following criteria are met: 

1. Monitoring is performed by an endocrinologist, physician, or licensed healthcare provider with experience and expertise in the use of intermittent monitoring of glucose in interstitial fluid and

2. Diabetes is suboptimally controlled despite current use of best practices (see below). Suboptimally controlled diabetes includes, but is not necessarily limited to. the following:
a. Glycosylated hemoglobin level (HbA1c) greater than 7 percent
b. Repeated and unpredictable hypoglycemia
c. Wide fluctuations in preprandial blood glucose
d. Dawn phenomenon with fasting blood sugars frequently exceeding 200 mg/dl
e. Severe glycemic excursions or
f. Hypoglycemic unawareness. 

3. It is performed prior to insulin pump initiation to determine basal insulin levels. 

Intermittent monitoring is generally conducted in 72-hour periods. It may be repeated at a subsequent time depending on the patient's level of diabetes control. 

Best practices for at least 3 months, include all of the following:
a. Completion of a comprehensive diabetes self-management program, including carbohydrate counting
b. Compliance with an intensive insulin therapy, including use of an insulin pump or multiple daily injections, i.e., at least 3 injections per day
c. Glucose self-testing an average of at least 3-4 times per day and
d. Frequent self-adjustment of insulin dose based on glucose measurement and carbohydrate count and/or content of meal."
t,"Continuous Glucose Monitoring can be approved when ANY of the following criteria are met:

1. Diabetes with a lack of residual beta-cell activity (documented with a C-peptide level or a positive beta cell autoantibody test) requiring six (6) or more finger sticks per day and a recent HgbA1C > 8.0

2. Diabetes with documented Hypoglycemic unawareness"
t,"BOTH of the following criteria are met for short-term use of a CGMS, as specified below in item (1) and item (2):

(1) ONE (1) of the following applicable criteria is met for short-term use of a CGMS, as specified below in item (a) for a member with type 2 diabetes or item (b) for a member with type 1 diabetes:

(a) Up to 3 Days (72 Hours):

The member is diagnosed with type 2 diabetes according to the definition of type 2 diabetes in the Definitions section of this policy OR

(b) Up to 7 Days:

The member is diagnosed with type 1 diabetes according to the definition of type 1 diabetes in the Definitions section of this policy AND

(2) The requested device is being prescribed according to its FDA-approved clearance and guideline information, including intended use for the member's age and medical condition"
t,"Intermittent monitoring (72 hours) of glucose levels in interstitial fluid may be considered medically necessary in the following situations when the criteria are met:

1.Patients with type I diabetes who despite current use of best practices have poorly controlled diabetes, including hemoglobin A1c not in acceptable target range for the patient's clinical situation, unexplained hypoglycemic episodes, hypoglycemic unawareness, suspected postprandial hyperglycemia, or recurrent diabetic ketoacidosis.
2.Patients with type I diabetes prior to insulin pump initiation to determine basal insulin levels.
3.Women with type I diabetes who are pregnant or about to become pregnant and have poorly controlled diabetes.

Situations which support 3 day monitoring with a continuous glucose monitoring device include adjustments in therapy, quantifying the response in a trial of a diabetes therapy, assessing the impact of lifestyle modifications on glycemic control, and monitoring when attempting to tighten control without causing hypoglycemia"
t,"Short-Term continuous glucose monitoring: Intermittent monitoring of glucose levels in the interstitial fluid as a technique of monitoring insulin-requiring diabetes (Type 1 or Type 2) may be considered medically necessary for up to three days at a time (72 hours) for patients who meet the following criteria:
a. the member exhibits inadequate diabetes control, despite multiple daily injections of insulin or use of an insulin pump, and frequent monitoring of blood glucose by using a home glucometer, or
b. has unexplained large fluctuations in daily pre-prandial glucose values, or
c. has unexplained, frequent hypoglycemic episodes, or
d. has had at least one recent episode of emergent treatment for ketoacidosis or acute hypoglycemia, or
e. is diabetic and newly pregnant, or intends to become pregnant within a short time, or
f. is being evaluated prior to using injectable insulin for the first time or using an insulin pump, to determine basal insulin levels
g. intermittent monitoring may be considered medically necessary in monitoring a suspected non-diabetic, such as may occur with Nesidioblastosis (islet cell dysmaturation syndrome) and insulinoma.

Short-term monitoring is limited to up to 4 times within a 12 month period. 

Coverage for Medicare members is determined according to the Medicare LCD criteria."
t,N/A
t,"QualChoice considers the short term (up to 72 hours) continuous glucose monitoring medically necessary for members who meet the following criteria:
a. Members with type 1 diabetes that is poorly controlled despite being compliant with a regimen consisting of 4 or more finger stick glucose measurements and multiple insulin injections per day as manifest by:
i. Recurrent hypoglycemia and/or Unaware hypoglycemic episodes, AND
ii. Uncontrolled hyperglycemia
b. Members with type 1 diabetes prior to insulin pump initiation to determine basal insulin levels.
c. Members with type 1 diabetes who are pregnant and despite intense therapy consisting of at least 4 finger sticks and 3 insulin injections per day, cannot achieve proper glycemic control"
t,"Professional continuous glucose monitoring utilizing provider-owned equipment is covered for BadgerCare Plus and Medicaid members as a supplement to standard care for diabetes when the primary care provider or attending provider determines such monitoring is medically necessary to establish an optimal insulin regimen. 

Results must be monitored and interpreted under physician supervision. 

Procedure codes 95250 and 95251 require a minimum of 72 hours of data and may be reimbursed up to four times per year but may not be reimbursed more than once per month.

Prior authorization is not required."
t,"Short-term (3-7 days) continuous glucose monitoring by a healthcare provider for diagnostic purposes is medically necessary for patients with diabetes.

Continuous glucose monitoring may be indicated when ALL of the following are present:
Age 8 years or older
Type 1 diabetes mellitus, as indicated by 1 or more of the following:
-Short-term continuous glucose monitoring needed, as indicated by ALL of the following:
   ? Additional information about blood glucose needed, as indicated by 1 or more of the following:
      - Dawn phenomenon, known or suspected
      - Hypoglycemic unawareness (ie, patient does not have symptoms with hypoglycemia)
      - Nocturnal hypoglycemia, known or suspected
      - Postprandial hyperglycemia, known or suspected
      - Significant change to diabetes treatment regimen (eg, initiation of insulin, change from multiple-dose insulin to insulin pump therapy)
      - Unexplained hyperglycemia
   ? Monitoring limited to 3 to 7 days"
t,"Intermittent monitoring, i.e. up to 72 hours, of glucose levels in interstitial fluid is covered for patients with type 1 and type 2 diabetes when the following criteria are met:
1. Monitoring is performed by an endocrinologist or in the absence of an endocrinologist, by a physician with experience and expertise in the use of intermittent monitoring of glucose in interstitial fluid, and
2. Diabetes is suboptimally controlled despite current use of best practices. Suboptimally controlled diabetes includes (but is not necessarily limited to) the following:
a. Glycosylated hemoglobin level (HbA1c) greater than 7 percent,
b. Repeated and unpredicatable hypoglycemia,
c. Wide fluctuations in preprandial blood glucose,
d. Dawn phenomenon with fasting blood sugars frequently exceeding 200 mg/dl
e. Severe glycemic excursions or
f. Hypoglycemic unawareness.
3. It is performed prior to insulin pump initiation to determine basal insulin levels.

Best practices include:

a. Completion of a comprehensive diabetes self-management program, including carbohydrate counting.
b. Compliance with an intensive insulin therapy, including use of an insulin pump or multiple daily injections, i.e., at least 3 injections per day.
c. Glucose self-testing an average of at least 4 times per day and.
d. Frequent self-adjustment of insulin dose based on glucose measurement and carbohydrate count and/or content of meal.

CGMS is covered for patients who have been utilizing best practices for at least 3 months; however, coverage will be considered on a case by case basis for patients who have been utilizing best practices for less than 3 months."
t,"Intermittent monitoring, i.e. 72 consecutive hours on an appropriate periodic basis, of glucose levels in interstitial fluid may be considered medically necessary in patients with type 1 diabetes mellitus whose diabetes is poorly controlled as evidenced by fasting hyperglycemia (>150 mg/dL) or recurring episodes of severe hypoglycemia (<50 mg/dL) despite current use of best practices when results are monitored and interpreted under the supervision of a physician.

Poorly controlled type 1 diabetes mellitus includes the following clinical situations: unexplained hypoglycemic episodes, hypoglycemic unawareness, suspected postprandial hyperglycemia, and recurrent diabetic ketoacidosis. Women with type 1 diabetes mellitus taking insulin who are pregnant or about to become pregnant with poorly controlled diabetes are another subset of patients to whom the policy statement on intermittent monitoring may apply.

Intermittent monitoring of glucose levels in interstitial fluid may also be considered medically necessary in patients with type I diabetes prior to insulin pump initiation to determine basal insulin levels.

Best practices in diabetes control for patients with diabetes mellitus:
- Compliance with a regimen of four or more glucose checks each day and use of an insulin pump.
- During pregnancy, three or more insulin injections daily could also be considered best practice for patients not on an insulin pump prior to the pregnancy."
t,"A. HNE considers the use of a CGMS medically necessary when the following criteria are met:
1. Member with a diagnosis of Type 1 Diabetes, AND
a. The member is currently using an insulin pump or 3 or more injections of insulin per day, AND
b. The member has been compliant with insulin and testing blood glucose levels at least 4 times per day, AND
c. History of frequent and/or severe hypoglycemia (severe hypoglycemia being defined as blood glucose less than 50 requiring assistance from another person to identify and manage condition), hypoglycemic unawareness, or nocturnal hypoglycemia, OR
d. Recurrent unexplained hypoglycemia or hyperglycemia (frequent blood sugar less than 70 or greater than 200 for a period of over 30 days), OR
e. The member is unable to verbalize hypoglycemia symptoms due to age or developmental limitations."
t,"72-hour monitoring of glucose levels in interstitial fluid, to optimize patient management, may be considered established in the following situations when any of the following criteria are met:

- Patients with insulin-requiring diabetes who despite current use of best practices have poorly controlled diabetes, including hemoglobin A1C not in acceptable target range for the patient's clinical situation, unexplained hypoglycemic episodes, evidence suggesting postprandial hyperglycemia, or recurrent diabetic ketoacidosis.
- Patients with insulin-requiring diabetes prior to insulin pump initiation to determine basal insulin levels.
- Women with insulin-requiring diabetes who are pregnant or about to become pregnant and have poorly controlled diabetes"
t,"Intermittent monitoring, that is for a minimum of 72 hours, of glucose levels in interstitial fluid for diagnostic testing, is considered medically necessary for type I and type II diabetics who meet at least one of the following criteria:
- the patient exhibits inadequate diabetes control, despite multiple daily injections of insulin or use of an insulin pump, and frequent monitoring of blood glucose by using a home glucometer or
- has unexplained large fluctuations in daily pre-prandial glucose values or 
- has unexplained, frequent hypoglycemic episodes or
- has had at least one recent episode of emergent treatment for ketoacidosis or acute hypoglycemia or
- is diabetic and newly pregnant, or intends to become pregnant within a short time or
- is being evaluated prior to using injectable insulin for the first time or using an insulin pump, to determine basal insulin levels."
t,"Commercial,Medicaid:

Professional CGM is covered as an adjunct to standard care when the PCP or attending provider determines such monitoring is medically necessary to establish optimal insulin regimens for patients with insulin-requiring diabetes and inadequate glycemic control despite compliance with frequent self-monitoring. (Results must be monitored and interpreted under physician supervision.)

Medicare Advantage:

Professional CGM (provider owned equipment) is covered as an adjunct to standard care when monitoring is medically necessary to establish optimal insulin regimens for patients with insulin-requiring diabetes and inadequate glycemic control."
t,"Professional (intermittent 72 hour) monitoring of glucose levels in interstitial fluid may be considered medically necessary for:
- Patients with Type I or Type II insulin dependent diabetes prior to insulin pump initiation to determine basal insulin levels OR
- Patients with Type I or Type II insulin dependent diabetes whose diabetes is poorly controlled despite current compliance with a regimen including four or more finger sticks each day, and either three or more insulin injections or use of an insulin pump. 

*Poorly controlled diabetes includes but is not limited to the following clinical situations:
- Unexplained hypoglycemic episodes
- Hypoglycemic unawareness
- Suspected postprandial hyperglycemia, OR
- Recurrent diabetic ketoacidosis"
t,Coverage for 72-hour Continuous Glucose Monitoring is provided when prior authorization is granted.
t,"Covered Uses 
All medically accepted indications not otherwise excluded from Part D. 

Exclusion Criteria 
Individuals with wild-type BRAF melanoma. 

Required Medical Information 
Individual has BRAF mutation and a copy of the BRAF test results must be provided. 

Age Restrictions N/A 

Prescriber Restrictions N/A 

Coverage Duration 1 year 

Other Criteria N/A"
t,"Allowed only for clients 18 years of age and younger for the in-home use of professional or diagnostic CGM for a 72-hour period.

The client must:
- Have diabetes mellitus (DM).
- Be insulin dependent.
- Have had one or more severe episodes of hypoglycemia (blood glucose less than or equal to 50 mg/dl) *requiring assistance from another person, or complicated by a hypoglycemia-induced seizure.

The CGM must be:
- Ordered by a pediatrician.
- Provided by an FDA-approved CGM device.

Limit: 2 monitoring periods of 72 hours each, per client, every 12 months.
 
*Requiring assistance means that the client does not recognize the symptoms of hypoglycemia and/or is unable to respond appropriately.

If the client does not meet the criteria, prior authorization (PA) is required."
t,South Dakota Medicaid covers continuous glucose monitoring provided by an endocrinologist for a continuous 72 hour period through the endocrinologist's office no more than twice annually.
t,"Intermittent monitoring, ie, 72 hours, of glucose levels in interstitial fluid may be considered medically necessary in patients with:
- type 1 diabetes mellitus whose diabetes is poorly controlled despite current use of best practices.

Poorly controlled type 1 diabetes mellitus includes the following clinical situations: unexplained hypoglycemic episodes, hypoglycemic unawareness, suspected postprandial hyperglycemia, and recurrent diabetic ketoacidosis.

Best practices in diabetes control for patients with diabetes mellitus include compliance with a regimen of 4 or more fingersticks each day and use of an insulin pump

Intermittent monitoring of glucose levels in interstitial fluid may also be considered medically necessary in patients with type 1 diabetes prior to insulin pump initiation to determine basal insulin levels."
t,"Short-term use (less than 7 days) of continuous glucose monitoring devices may be considered medically necessary when there is inadequate glycemic control despite compliance with frequent (at least 4x/day) self-monitoring, and:
1. Poor control is in spite of compliance with multiple alterations in self-monitoring and insulin administration regimens, as evidenced by fasting hyperglycemia (>150 mg/dl) or recurring episodes of severe hypoglycemia (<50 mg/dl) and
2. Insulin injections are required 3 or more times per day, or use of an insulin pump is required for maintenance of blood sugar control and
3. Results are monitored and interpreted under supervision of a physician."
t,"Minimally invasive, continuous glucose monitoring is covered for HAP/AHL Members for up to 72-hours when the following criteria are met:
a. The Member has been instructed by a health care professional in the management of diabetes
b. Documented frequency of glucose self-testing an average of at least 4 times per day during the previous month
c. Glycated hemoglobin (HbA1C) values > 8
d. At least one of the following is met:
i. Unexplained large fluctuations in daily glucose values before meals
ii. Unexplained frequent hypoglycemic attacks
iii. Episodes of ketoacidosis or hospitalizations for uncontrolled glucose levels
iv. Hypoglycemic unawareness
v. Type I or Type II diabetic woman who is newly pregnant
vi. Must be ordered and supplied by a HAP/AHL Affiliated or Contracted Physician"
t,N/A
f,N/A
t,"Applicable to Molina Healthcare Washington Medicaid

CGMS may only be used for intermittent short term use (up to 3 days or 72 hours) of consecutive use. Coverage is limited to intermittent CGMS once every 6 months. 

Molina Healthcare may consider continuous glucose monitoring system (CGMS) of interstitial fluid a covered benefit for adult members who are 18 years of age and over with type 1 insulin dependent diabetes when ALL of the following criteria have been met:

- Board certified endocrinologist prescribing CGMS and
- Completion of a comprehensive diabetic education program and
- Frequency of glucose self-testing at least 4 times per day during the previous month and
- Compliance with a plan recommended by a board certified endocrinologist and
- Insulin injections are required 3 or more times per day and
- FDA approved Device and
- Only used for intermittent short term use (up to 3 days or 72 hours of consecutive use) and
- Insulin dose is adjusted based on self-testing results, and meets one or more of the following:
o Unexplained large fluctuations in daily blood glucose values before meals (>150 mg/dl) OR
o Early morning fasting hyperglycemia in type 1 diabetics known as the dawn phenomenon (a rise in blood sugar levels before breakfast) OR
o Recurrent episodes of severe hypoglycemia (blood glucose < 50mg/dl) despite appropriate modifications in insulin regime"
t,"Cotellic

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria 

Required Medical Information 

Age Restrictions

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,"Effective 17 May 2017, Inland Empire Health (IEHP) has removed coverage criteria for Short Term use of Continuous Glucose Monitoring from their policy for Continuous Glucose Monitoring Devices. Historical criteria from the previous (November 2016) version of the policy are copied below:

Short term use of continuous glucose monitoring (CGM) device is considered medically necessary for members with Type 2 Diabetes Mellitus, when all of the following are met:

a. Must be prescribed by endocrinologist
b. Adhere to a multiple daily injections of insulin regimen (at least 3 injections per day) or an insulin pump regimen
c. Adhere to frequent glucose self-monitoring (at least 4 fingersticks per day)
d. Members received diabetes education, training and support on CGM devices (e.g. sensor insertion, calibration, real-time data interpretation, etc.).
e. Documented presence of any of the following conditions while on insulin therapy:
i. Inadequate glycemic control, demonstrated by documented HbA1c >7% despite adherence with insulin therapy
ii. Recurrent episodes of diabetic ketoacidosis
iii. Recurrent episodes of hypoglycemia (blood glucose less than 50mg/dL)
iv. Hypoglycemia unawareness: patient is not aware of symptom and requires assistance from another person to administer oral carbohydrate, glucagon or other resuscitative actions.
v. Recurrent postprandial hyperglycemia
vi. Dawn phenomenon: frequent fasting blood glucose exceeding 200mg/dL
vii. Wide fluctuation in blood glucose before mealtime"
