covered,criteria
t,"Covered Uses:
All FDA-approved indications not otherwise excluded from Part D, non-small cell lung cancer (NSCLC) with BRAF V600E mutation.

Required Medical Information:
For unresectable or metastatic melanoma, the tumor is positive for BRAF V600E or V600K mutation and Mekinist is used as a single agent or in combination with dabrafenib. For NSCLC, tumor is positive for BRAF V600E mutation and Mekinist is used in combination with dabrafenib.

Coverage Duration:
 Plan Year"
t,"For NSCLC, the disease is unresectable, locally advanced, recurrent, or metastatic for patients with tumors of non-squamous cell histology, and no hx of recent hemoptysis and 1) AV will be used as first-line therapy or as subsequent therapy after prior therapy with erlotinib, afatinib, gefitinib or crizotinib a) AV will be used with cisplatin- or carboplatin-based regimens and b) Patient has distant mets or locoregional recurrence with evidence of disseminated disease, OR 2) AV will be used as a continuation maintenance tx (i.e., continuation of AV as first-line therapy beyond 4- 6 cycles in the absence of disease progression) for tumor that is negative or unknown for both EGFR and ALK mutations and a) AV will be used alone or in combination with pemetrexed if previously used with a first-line pemetrexed/platinum chemotherapy regimen and b) Patient has achieved tumor response or stable disease following firstline chemotherapy."
t,"Covered Uses:
 All FDA-approved indications not otherwise excluded from Part D.

Coverage Duration:
 Plan Year"
t,"Bevacizumab (Avastin) is considered medically necessary and, therefore, covered when the dosing and frequency requirements listed in Attachment A and the following indications are met: NON-SQUAMOUS NON-SMALL CELL LUNG CANCER: ADENOCARCINOMA AND LARGE CELL CARCINOMA
In individuals who have unresectable, locally advanced, recurrent, or metastatic non-squamous non-small cell lung cancer, as first-line treatment in combination with paclitaxel (Taxol) and carboplatin (Paraplatin)
In individuals who have non-squamous non-small cell lung cancer as first-line therapy in combination with cisplatin- or carboplatin-based regimens (ie, a regimen with any of the following agents: paclitaxel, docetaxel, gemcitabine, vinorelbine, etoposide, vinblastine, pemetrexed) for recurrence or metastasis in individuals with performance status 0 to 1, tumors of nonsquamous cell histology, and no history of recent hemoptysis (excluding locoregional recurrence [with the exception of mediastinal lymph node recurrence with prior radiation therapy] with no evidence of disseminated disease)
For information on performance status as defined by the Eastern Cooperative Oncology Group (ECOG), please refer to the Guidelines section in this policy.
As single-agent or in combination with pemetrexed (if previously used with a first-line pemetrexed/platinum chemotherapy regimen) when given as continuation maintenance therapy for recurrence or metastasis if given first line with chemotherapy in individuals with performance status 0 to 1, tumors of nonsquamous cell histology, and no history of recent hemoptysis who achieve tumor response or stable disease following first-line chemotherapy
As a second-line therapy for progression in individuals with multiple symptomatic systemic lesions in combination with a platinum doublet therapy
with or without erlotinib for sensitizing EGFR mutation positive tumors and prior erlotinib or afatinib therapy
for ALK-positive tumors and prior crizotinib therapy"
t,All medically accepted indications not otherwise excluded from Part D.
t,N/A
t,Non-Small Cell Lung Cancer (NSCLC): Diagnosis of unresectable locally advanced recurrent or metastatic NSCLC. Used in combination with paclitaxel and carboplatin. Performance status 0 to 1.
t,Non-Small Cell Lung Cancer (NSCLC): Diagnosis of unresectable locally advanced recurrent or metastatic NSCLC. Used in combination with paclitaxel and carboplatin. Performance status 0 to 1.
f,N/A
t,"Avastin is covered in adult patients (≥ 18 years of age) for the following indications: Non-squamous non-small cell lung cancer First-line treatment in combination with a platinum-based treatment regimen for recurrence or metastases for patients with performance status 0-1 Continuation-maintenance therapy if given first line with chemotherapy for recurrence or metastases for patients with performance status 0-1
Second-line treatment in combination with a platinum-based doublet"
t,N/A
t,N/A
t,N/A
t,N/A
t,N/A
t,N/A
t,N/A
t,"1.0 AVASTIN (bevacizumab) is considered medically appropriate for any one of the following diagnosis: 1.2 Non-Squamous Non-Small Cell Lung Cancer (NSCLC) 1.2.1 First-line treatment of unresectable, locally advanced, recurrent or metastatic non–squamous non–small cell lung cancer in combination with paclitaxel and carboplatin"
t,"Being used as first-line, second-line, or maintenance therapy for non-squamous, nonsmall cell lung cancer"
t,"RMHP considers bevacizumab (Avastin) medically necessary for any FDA approved indication, including the following: Non-squamous, non-small cell lung cancer that is recurrent or metastatic, unresectable, locally
advanced, as first line treatment in combination with paclitaxel and carboplatin."
t,"Drug Names COTELLIC

Covered Uses 
All FDA-approved indications not otherwise excluded from Part D.

Exclusion Criteria

Required Medical Information

Age Restrictions

Prescriber Restrictions

Coverage Duration 
Plan Year

Other Criteria"
